id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
starter,The Starter,"A low, two-tier unit that works perfectly as a media console, entryway organizer, or low display. Built in our Nairobi workshop from steel and engineered wood, it offers a sturdy foundation you can always expand later.",in stock,new,6500.00 KES,https://www.framework.co.ke/shelving.html?config=starter,https://www.framework.co.ke/images/shelving/configs/starter-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/starter-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/starter-front.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
end-table,The End Table,"A versatile two-tier unit that works perfectly as a side table, bedside shelf, or entryway organizer. Keep your books, crafts, and daily essentials within easy reach.",in stock,new,9500.00 KES,https://www.framework.co.ke/shelving.html?config=end-table,https://www.framework.co.ke/images/shelving/configs/end-table-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/end-table-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/end-table-front.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
low-console,The Low Console,"A versatile three-tier unit designed to sit comfortably in entryways, living rooms, or under windows. Perfect for keeping books, art, and everyday essentials beautifully on display.",in stock,new,12000.00 KES,https://www.framework.co.ke/shelving.html?config=low-console,https://www.framework.co.ke/images/shelving/configs/low-console-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/low-console-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/low-console-front.jpg, https://www.framework.co.ke/images/shelving/configs/low-console-under-mdf.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
triple,The Triple,"A versatile three-tier configuration in an earthy sage green. It makes a perfect low sideboard or hallway console for organizing books, baskets, and daily essentials.",in stock,new,12000.00 KES,https://www.framework.co.ke/shelving.html?config=triple,https://www.framework.co.ke/images/shelving/configs/triple-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/triple-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/triple-angle.jpg, https://www.framework.co.ke/images/shelving/configs/triple-mdf-edge.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
quadruple,The Quadruple,"A four-tier unit in a striking deep blue finish. Designed to showcase your collection of books, baskets, and handcrafted pieces beautifully.",in stock,new,17500.00 KES,https://www.framework.co.ke/shelving.html?config=quadruple,https://www.framework.co.ke/images/shelving/configs/quadruple-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/quadruple-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/quadruple-angle.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
lighted-console,The Lighted Console,A three-tier modular unit featuring an integrated overhead lamp. Bring warmth and organized storage to your favorite reading corner. Note: lamp shade not included.,in stock,new,19500.00 KES,https://www.framework.co.ke/shelving.html?config=lighted-console,https://www.framework.co.ke/images/shelving/configs/lighted-console-populated.jpg,https://www.framework.co.ke/images/shelving/configs/lighted-console-emptied.jpg,Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
wide-four-tier,The Wide Four-Tier,"A spacious four-shelf unit finished in soft coral. Designed to give you plenty of horizontal room for organizing books, toys, and creative displays.",in stock,new,22000.00 KES,https://www.framework.co.ke/shelving.html?config=wide-four-tier,https://www.framework.co.ke/images/shelving/configs/wide-four-tier-populated.jpg,https://www.framework.co.ke/images/shelving/configs/wide-four-tier-emptied.jpg,Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
multicolor-stack,The Multicolor Stack,"A vibrant five-tier unit that brings a playful mix of color to your home. Perfect for showcasing books, art, and your favorite collections.",in stock,new,23000.00 KES,https://www.framework.co.ke/shelving.html?config=multicolor-stack,https://www.framework.co.ke/images/shelving/configs/multicolor-stack-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/multicolor-stack-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/multicolor-stack-under-mdf.jpg, https://www.framework.co.ke/images/shelving/configs/multicolor-stack-joint.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
lantern-shelf,The Lantern Shelf,"Combines spacious multi-tier storage with an integrated overhead lamp arm. Perfect for casting a warm, cozy glow over your favorite books and curated displays. Note: lamp shade not included.",in stock,new,24500.00 KES,https://www.framework.co.ke/shelving.html?config=lantern-shelf,https://www.framework.co.ke/images/shelving/configs/lantern-shelf-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/lantern-shelf-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/lantern-shelf-foot.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
two-tone-stack,The Two-Tone Stack,"A six-tier modular configuration in a vibrant navy and coral mix. Perfect for displaying books, baskets, and collected treasures while adding a bold pop of color to your space.",in stock,new,28500.00 KES,https://www.framework.co.ke/shelving.html?config=two-tone-stack,https://www.framework.co.ke/images/shelving/configs/two-tone-stack-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/two-tone-stack-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/two-tone-stack-angle.jpg, https://www.framework.co.ke/images/shelving/configs/two-tone-stack-under-mdf.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
